publishedAt,authorDisplayName,textDisplay,likeCount
2023-01-10T16:43:56Z,@revizautami9432,"Akhir dri cerita ini tu gmna maksud ny, cwe sm cwo yg balik ke rusun itu tuh siapa msh gk paham",0
2023-01-17T11:42:25Z,@bodoamat8806,Tunggu film ke3nya,0
2023-01-08T16:40:57Z,@pranasyawalker729,"Gak nyangka bisa ngeliat ratu felisha lgi di film horror setelah sekian lma menghilang, anak 90&#39;an pasti tau siapa ratu felisha",0
2023-01-07T18:08:19Z,@republikindonesia8521,"Plot twist : awal mula adanya PETRUS (Penembak Misterius) era pemerintahan Orde Baru adalah kedok belaka untuk menutupi rahasia yang sesungguhnya, yaitu membunuh 1000 jiwa manusia kerana terikat oleh setan.<br><br>Dalam film ya Guys, nyatanya mereka (PETRUS) di dunia nyata kan hanya membunuh para preman dan bertatto di era orde baru, “KATANYA”🤫🤫🤫<br><br>Ditunggu PENGABDI SETAN 3🎉🎉🎉",1
2023-01-07T13:21:58Z,@mutualrespect6769,"Insidious, The Conjuring, The Nun,  dicampur tambahin sambel terasi = Pengabdi Setan 😂😂😂😂😂😂",0
2023-01-05T07:06:44Z,@shidik46,Musik nya mirip sama insidious,0
2023-01-05T01:50:20Z,@rizalhalim4268,Ini part 2?? Atau yg sama yang ditayang dulu??,0
2023-01-09T02:54:57Z,@CappuCinno816,Ini yg kedua....terusan yg pertama,0
2023-01-04T08:15:15Z,@sitykhadijah8377,Ybhhjd bvgcbvdbbcbcbb,0
2023-01-04T07:39:21Z,@ewa02,bapak di pengabdi setan 2 🥶,0
2023-01-02T13:28:51Z,@2PipsTrader,"Where to watch the part 2 communion, I love the first part",0
2023-03-23T07:13:01Z,@acepaldi7119,On shudder,1
2023-01-02T10:53:42Z,@pastibisa6838,"sya bingung dengan driku ini, kok masih mrasa kurang seram ya",0
2023-01-01T15:53:19Z,@arvin5059,Cuma pengabdi setan film horor Indonesia yg bikin q merinding,0
2022-12-29T22:23:53Z,@Adellya20,pengabdi setan 4 lagi,0
2022-12-29T16:43:17Z,@lucasmukbang,Yang tayang yang pertama mulu di Trans 7,0
2022-12-30T04:06:45Z,@farell2583,kapan bang,1
2022-12-30T07:44:59Z,@lucasmukbang,@@farell2583 tayang kemarin malam jam 22.45,0
2022-12-29T16:42:59Z,@lucasmukbang,Pengabdi Setan 2 kenapa ga tayang di TV ya padahal seru,0
2022-12-29T17:50:08Z,@CappuCinno816,Mungkin tahun depan bang...karena belum setahun rilis di bioskop,0
2022-12-29T19:51:03Z,@lucasmukbang,@@CappuCinno816 Ok,0
2022-12-27T04:52:55Z,@oky_achmad,"Huuft ,Masih mengadopsi gaya2 film Conjuring 🙄,, aku harap kedapan Joko Anwar tidak menghilangkan jati diri horor Indonesia,, seperti film perempuan tanah jahanam film itu khas Indonesia bnget",0
2022-12-24T03:52:28Z,@reskyresky1287,Ni yg bikin filim GK ada otak atau gimana masa ustad di bikin gitu malah di putar palanya,0
2022-12-28T03:46:18Z,@itsjustmau111,"waktu mati lampu, ustadznya malah berduaan sama wanita, imannya kalah sama setan",0
2023-01-11T05:30:58Z,@yutub901,"Ya kebanyakan film horor sekarang ya gitu, pemuka agama akan kalah dengan setannya, sama tuh kaya film horor diluar yang mana pendeta akan menjadi korban, malah justru yang nyelamatin alur cerita itu orang mistis kaya kakek dukun gitu.",0
2022-12-22T16:17:45Z,@sadanandkumbhar9960,"<a href=""https://www.youtube.com/watch?v=8LIHcd7WfWI&amp;t=29"">0:29</a> 😂😂😂😂😂😂 There&#39;s no god but Allah 😂😂😂😂😂😂😂😂😂🐽",0
2023-01-08T05:33:41Z,@chellerf,idiot pajeet,0
2022-12-20T19:04:31Z,@pravasi2018,"Love from India, kerala💞",0
2022-12-19T15:20:38Z,@freya.5247,"Pengabdi setan 1 menurutku eksekusi endingnya masih kagok, tapi untuk alur dan lain-lainnya kece parah si. Makanya masih mau liat PS 2, dan wow, terrornya ga murahan, dari awal sampe akhir dibuat kagum, totalitas banget",1
2022-12-19T07:49:11Z,@faggod23,"Film yang Keren! Fantastic, 1000/1000 Stars! Joko Anwar memeng Pintar menulis Cerita Horror yang kualitas tinggi!!! <br>🤩",3
